Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Total Price,DayOfWeek Num,DayOfWeek Name,IsWeekend,Flag For Review
489434,85048,15cm christmas glass ball 20 lights,12,2009-12-01 07:45:00,6.95,13085.0,United Kingdom,83.4,1,Tuesday,False,False
489434,79323P,Pink cherry lights,12,2009-12-01 07:45:00,6.75,13085.0,United Kingdom,81.0,1,Tuesday,False,False
489434,79323W,White cherry lights,12,2009-12-01 07:45:00,6.75,13085.0,United Kingdom,81.0,1,Tuesday,False,False
489434,22041,"Record frame 7"" single size",48,2009-12-01 07:45:00,2.1,13085.0,United Kingdom,100.80000000000001,1,Tuesday,False,False
489434,21232,Strawberry ceramic trinket box,24,2009-12-01 07:45:00,1.25,13085.0,United Kingdom,30.0,1,Tuesday,False,False
489434,22064,Pink doughnut trinket pot,24,2009-12-01 07:45:00,1.65,13085.0,United Kingdom,39.599999999999994,1,Tuesday,False,False
489434,21871,Save the planet mug,24,2009-12-01 07:45:00,1.25,13085.0,United Kingdom,30.0,1,Tuesday,False,False
489434,21523,Fancy font home sweet home doormat,10,2009-12-01 07:45:00,5.95,13085.0,United Kingdom,59.5,1,Tuesday,False,False
489435,22350,Cat bowl,12,2009-12-01 07:46:00,2.55,13085.0,United Kingdom,30.599999999999998,1,Tuesday,False,False
489435,22349,"Dog bowl , chasing ball design",12,2009-12-01 07:46:00,3.75,13085.0,United Kingdom,45.0,1,Tuesday,False,False
489435,22195,Heart measuring spoons large,24,2009-12-01 07:46:00,1.65,13085.0,United Kingdom,39.599999999999994,1,Tuesday,False,False
489435,22353,Lunchbox with cutlery fairy cakes,12,2009-12-01 07:46:00,2.55,13085.0,United Kingdom,30.599999999999998,1,Tuesday,False,False
489436,48173C,Door mat black flock,10,2009-12-01 09:06:00,5.95,13078.0,United Kingdom,59.5,1,Tuesday,False,False
489436,21755,Love building block word,18,2009-12-01 09:06:00,5.45,13078.0,United Kingdom,98.10000000000001,1,Tuesday,False,False
489436,21754,Home building block word,3,2009-12-01 09:06:00,5.95,13078.0,United Kingdom,17.85,1,Tuesday,False,False
489436,84879,Assorted colour bird ornament,16,2009-12-01 09:06:00,1.69,13078.0,United Kingdom,27.04,1,Tuesday,False,False
489436,22119,Peace wooden block letters,3,2009-12-01 09:06:00,6.95,13078.0,United Kingdom,20.85,1,Tuesday,False,False
489436,22142,Christmas craft white fairy,12,2009-12-01 09:06:00,1.45,13078.0,United Kingdom,17.4,1,Tuesday,False,False
489436,22296,Heart ivory trellis large,12,2009-12-01 09:06:00,1.65,13078.0,United Kingdom,19.799999999999997,1,Tuesday,False,False
489436,22295,Heart filigree dove large,12,2009-12-01 09:06:00,1.65,13078.0,United Kingdom,19.799999999999997,1,Tuesday,False,False
489436,22109,Full english breakfast plate,16,2009-12-01 09:06:00,3.39,13078.0,United Kingdom,54.24,1,Tuesday,False,False
489436,22107,Pizza plate in box,4,2009-12-01 09:06:00,3.75,13078.0,United Kingdom,15.0,1,Tuesday,False,False
489436,22194,Black diner wall clock,2,2009-12-01 09:06:00,8.5,13078.0,United Kingdom,17.0,1,Tuesday,False,False
489436,35004B,Set of 3 black flying ducks,12,2009-12-01 09:06:00,4.65,13078.0,United Kingdom,55.800000000000004,1,Tuesday,False,False
489436,82582,Area patrolled metal sign,12,2009-12-01 09:06:00,2.1,13078.0,United Kingdom,25.200000000000003,1,Tuesday,False,False
489436,21181,Please one person  metal sign,12,2009-12-01 09:06:00,2.1,13078.0,United Kingdom,25.200000000000003,1,Tuesday,False,False
489436,21756,Bath building block word,3,2009-12-01 09:06:00,5.95,13078.0,United Kingdom,17.85,1,Tuesday,False,False
489436,21333,Classic white frame,6,2009-12-01 09:06:00,2.95,13078.0,United Kingdom,17.700000000000003,1,Tuesday,False,False
489436,84596F,Small marshmallows pink bowl,8,2009-12-01 09:06:00,1.25,13078.0,United Kingdom,10.0,1,Tuesday,False,False
489436,84596L,Biscuits small bowl light blue,8,2009-12-01 09:06:00,1.25,13078.0,United Kingdom,10.0,1,Tuesday,False,False
489436,22111,Scottie dog hot water bottle,24,2009-12-01 09:06:00,4.25,13078.0,United Kingdom,102.0,1,Tuesday,False,False
489437,22143,Christmas craft heart decorations,6,2009-12-01 09:08:00,2.1,15362.0,United Kingdom,12.600000000000001,1,Tuesday,False,False
489437,22145,Christmas craft heart stocking,6,2009-12-01 09:08:00,2.1,15362.0,United Kingdom,12.600000000000001,1,Tuesday,False,False
489437,22130,Party cone christmas decoration,12,2009-12-01 09:08:00,0.85,15362.0,United Kingdom,10.2,1,Tuesday,False,False
489437,21364,Peace small wood letters,2,2009-12-01 09:08:00,6.75,15362.0,United Kingdom,13.5,1,Tuesday,False,False
489437,21360,Joy large wood letters,1,2009-12-01 09:08:00,9.95,15362.0,United Kingdom,9.95,1,Tuesday,False,False
489437,21351,Cinammon & orange wreath,2,2009-12-01 09:08:00,6.75,15362.0,United Kingdom,13.5,1,Tuesday,False,False
489437,21352,Eucalyptus & pinecone  wreath,2,2009-12-01 09:08:00,6.75,15362.0,United Kingdom,13.5,1,Tuesday,False,False
489437,35400,Wooden box advent calendar,2,2009-12-01 09:08:00,8.95,15362.0,United Kingdom,17.9,1,Tuesday,False,False
489437,20695,Floral blue monster,3,2009-12-01 09:08:00,4.25,15362.0,United Kingdom,12.75,1,Tuesday,False,False
489437,37370,Retro coffee mugs assorted,12,2009-12-01 09:08:00,1.25,15362.0,United Kingdom,15.0,1,Tuesday,False,False
489437,10002,Inflatable political globe,12,2009-12-01 09:08:00,0.85,15362.0,United Kingdom,10.2,1,Tuesday,False,False
489437,84507B,Stripes design monkey doll,6,2009-12-01 09:08:00,2.55,15362.0,United Kingdom,15.299999999999999,1,Tuesday,False,False
489437,20703,Blue padded soft mobile,3,2009-12-01 09:08:00,4.25,15362.0,United Kingdom,12.75,1,Tuesday,False,False
489437,21987,Pack of 6 skull paper cups,12,2009-12-01 09:08:00,0.65,15362.0,United Kingdom,7.800000000000001,1,Tuesday,False,False
489437,21989,Pack of 20 skull paper napkins,12,2009-12-01 09:08:00,0.85,15362.0,United Kingdom,10.2,1,Tuesday,False,False
489437,84970S,Hanging heart zinc t-light holder,12,2009-12-01 09:08:00,0.85,15362.0,United Kingdom,10.2,1,Tuesday,False,False
489437,20971,Pink blue felt craft trinket box,12,2009-12-01 09:08:00,1.25,15362.0,United Kingdom,15.0,1,Tuesday,False,False
489437,22271,Feltcraft doll rosie,6,2009-12-01 09:08:00,2.95,15362.0,United Kingdom,17.700000000000003,1,Tuesday,False,False
489437,22272,Feltcraft doll maria,6,2009-12-01 09:08:00,2.95,15362.0,United Kingdom,17.700000000000003,1,Tuesday,False,False
489437,22274,Feltcraft doll emily,6,2009-12-01 09:08:00,2.95,15362.0,United Kingdom,17.700000000000003,1,Tuesday,False,False
489437,21912,Vintage snakes & ladders,4,2009-12-01 09:08:00,3.75,15362.0,United Kingdom,15.0,1,Tuesday,False,False
489437,22111,Scottie dog hot water bottle,3,2009-12-01 09:08:00,4.95,15362.0,United Kingdom,14.850000000000001,1,Tuesday,False,False
489437,22112,Chocolate hot water bottle,3,2009-12-01 09:08:00,4.95,15362.0,United Kingdom,14.850000000000001,1,Tuesday,False,False
489438,21329,Dinosaurs  writing set,28,2009-12-01 09:24:00,0.98,18102.0,United Kingdom,27.439999999999998,1,Tuesday,False,False
489438,21252,Set of meadow  flower stickers,30,2009-12-01 09:24:00,1.69,18102.0,United Kingdom,50.699999999999996,1,Tuesday,False,False
489438,21100,Charlie and lola charlotte bag,30,2009-12-01 09:24:00,1.15,18102.0,United Kingdom,34.5,1,Tuesday,False,False
489438,21033,Jumbo bag charlie and lola toys,30,2009-12-01 09:24:00,2.0,18102.0,United Kingdom,60.0,1,Tuesday,False,False
489438,20711,Jumbo bag toys,60,2009-12-01 09:24:00,1.3,18102.0,United Kingdom,78.0,1,Tuesday,False,False
489438,21410,Country cottage  doorstop green,32,2009-12-01 09:24:00,2.5,18102.0,United Kingdom,80.0,1,Tuesday,False,False
489438,21411,Gingham heart  doorstop red,32,2009-12-01 09:24:00,2.5,18102.0,United Kingdom,80.0,1,Tuesday,False,False
489438,84031A,Charlie+lola red hot water bottle,56,2009-12-01 09:24:00,3.0,18102.0,United Kingdom,168.0,1,Tuesday,False,False
489438,84031B,Charlie lola blue hot water bottle,56,2009-12-01 09:24:00,3.0,18102.0,United Kingdom,168.0,1,Tuesday,False,False
489438,84032A,Charlie+lola pink hot water bottle,60,2009-12-01 09:24:00,1.9,18102.0,United Kingdom,114.0,1,Tuesday,False,False
489438,84032B,Charlie + lola red hot water bottle,56,2009-12-01 09:24:00,1.9,18102.0,United Kingdom,106.39999999999999,1,Tuesday,False,False
489438,84519A,Tomato charlie+lola coaster set,56,2009-12-01 09:24:00,2.15,18102.0,United Kingdom,120.39999999999999,1,Tuesday,False,False
489438,84519B,Carrot charlie+lola coaster set,60,2009-12-01 09:24:00,2.4,18102.0,United Kingdom,144.0,1,Tuesday,False,False
489438,85132A,Charlie + lola biscuits tins,60,2009-12-01 09:24:00,6.38,18102.0,United Kingdom,382.8,1,Tuesday,False,False
489438,85132C,Charlie and lola figures tins,60,2009-12-01 09:24:00,6.4,18102.0,United Kingdom,384.0,1,Tuesday,False,False
489438,85183A,Charlie & lola wastepaper bin blue,60,2009-12-01 09:24:00,2.4,18102.0,United Kingdom,144.0,1,Tuesday,False,False
489438,85183B,Charlie & lola wastepaper bin flora,60,2009-12-01 09:24:00,2.4,18102.0,United Kingdom,144.0,1,Tuesday,False,False
489439,22065,Christmas pudding trinket pot,12,2009-12-01 09:28:00,1.45,12682.0,France,17.4,1,Tuesday,False,False
489439,22138,Baking set 9 piece retrospot,9,2009-12-01 09:28:00,4.95,12682.0,France,44.550000000000004,1,Tuesday,False,False
489439,22139,Retro spot tea set ceramic 11 pc,9,2009-12-01 09:28:00,4.95,12682.0,France,44.550000000000004,1,Tuesday,False,False
489439,22352,Lunchbox with cutlery retrospot,12,2009-12-01 09:28:00,2.55,12682.0,France,30.599999999999998,1,Tuesday,False,False
489439,85014A,Black/blue dots ruffled umbrella,3,2009-12-01 09:28:00,5.95,12682.0,France,17.85,1,Tuesday,False,False
489439,85014B,Red/white dots ruffled umbrella,3,2009-12-01 09:28:00,5.95,12682.0,France,17.85,1,Tuesday,False,False
489439,16161P,Wrap english rose,25,2009-12-01 09:28:00,0.42,12682.0,France,10.5,1,Tuesday,False,False
489439,16169N,Wrap blue russian folkart,25,2009-12-01 09:28:00,0.42,12682.0,France,10.5,1,Tuesday,False,False
489439,21491,Set of three vintage gift wraps,6,2009-12-01 09:28:00,1.95,12682.0,France,11.7,1,Tuesday,False,False
489439,22333,Retro sport party bag + sticker set,8,2009-12-01 09:28:00,1.65,12682.0,France,13.2,1,Tuesday,False,False
489439,85216,Assorted cakes fridge magnets,12,2009-12-01 09:28:00,0.65,12682.0,France,7.800000000000001,1,Tuesday,False,False
489439,21493,Vintage design gift tags,12,2009-12-01 09:28:00,0.85,12682.0,France,10.2,1,Tuesday,False,False
489439,22130,Party cone christmas decoration,24,2009-12-01 09:28:00,0.85,12682.0,France,20.4,1,Tuesday,False,False
489439,22064,Pink doughnut trinket pot,12,2009-12-01 09:28:00,1.65,12682.0,France,19.799999999999997,1,Tuesday,False,False
489439,21731,Red toadstool led night light,24,2009-12-01 09:28:00,1.65,12682.0,France,39.599999999999994,1,Tuesday,False,False
489439,85232B,Set/3 russian doll stacking tins,6,2009-12-01 09:28:00,4.95,12682.0,France,29.700000000000003,1,Tuesday,False,False
489439,84691,Pack 20 dolly pegs,12,2009-12-01 09:28:00,0.85,12682.0,France,10.2,1,Tuesday,False,False
489439,20749,Assorted colour mini cases,2,2009-12-01 09:28:00,7.95,12682.0,France,15.9,1,Tuesday,False,False
489439,POST,Postage,3,2009-12-01 09:28:00,18.0,12682.0,France,54.0,1,Tuesday,False,False
489440,22350,Cat bowl,8,2009-12-01 09:43:00,2.55,18087.0,United Kingdom,20.4,1,Tuesday,False,False
489440,22349,"Dog bowl , chasing ball design",8,2009-12-01 09:43:00,3.75,18087.0,United Kingdom,30.0,1,Tuesday,False,False
489441,22321,Bird decoration red spot,12,2009-12-01 09:44:00,0.72,18087.0,United Kingdom,8.64,1,Tuesday,False,False
489441,22138,Baking set 9 piece retrospot,6,2009-12-01 09:44:00,4.25,18087.0,United Kingdom,25.5,1,Tuesday,False,False
